,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Armenia,ARM,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,2000000.0,4000000.0,7000000.0,3000000.0,4000000.0,4000000.0,4000000.0,4000000.0,0.0,0.0,0.0,0.0,0.0,0.0
13,American Samoa,ASM,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Antigua and Barbuda,ATG,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Australia,AUS,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,303000000.0,303000000.0,295000000.0,301000000.0,289000000.0,296000000.0,284000000.0,290000000.0,282000000.0,281000000.0,261000000.0,263000000.0,280000000.0,338000000.0,429000000.0,489000000.0,484000000.0,429000000.0,405000000.0,418000000.0,385000000.0,404000000.0,516000000.0,431000000.0,441000000.0,456000000.0,460000000.0,470000000.0,731000000.0,810000000.0,750000000.0,769000000.0,670000000.0,681000000.0,687000000.0,746000000.0,954000000.0,995000000.0,1065000000.0,1195000000.0,1230000000.0,1599000000.0,1997000000.0,2345000000.0,2573000000.0,4794000000.0,5716000000.0,6674000000.0,7817000000.0,6800000000.0,8256000000.0,9718000000.0,12573000000.0,14939000000.0,18622000000.0,21044000000.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Austria,AUT,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000000.0,233000000.0,211000000.0,202000000.0,213000000.0,218000000.0,254000000.0,273000000.0,302000000.0,331000000.0,324000000.0,500000000.0,475000000.0,559000000.0,805000000.0,934000000.0,1278000000.0,902000000.0,1047000000.0,1104000000.0,1126000000.0,1206000000.0,1306000000.0,1343000000.0,1188000000.0,1837000000.0,1574000000.0,1714000000.0,1868000000.0,1649000000.0,1599000000.0,1777000000.0,1668000000.0,2098000000.0,3010000000.0,3936000000.0,5151000000.0,6236000000.0,6344000000.0,6281000000.0,6617000000.0,6627000000.0,7404000000.0,8322000000.0,8934000000.0,10187000000.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Azerbaijan,AZE,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,1000000.0,0.0,0.0,69000000.0,92000000.0,101000000.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Burundi,BDI,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Belgium,BEL,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116000000.0,108000000.0,83000000.0,57000000.0,247000000.0,260000000.0,315000000.0,300000000.0,291000000.0,46000000.0,22000000.0,24000000.0,53000000.0,119000000.0,148000000.0,188000000.0,198000000.0,289000000.0,307000000.0,276000000.0,253000000.0,254000000.0,330000000.0,322000000.0,283000000.0,370000000.0,509000000.0,584000000.0,634000000.0,778000000.0,945000000.0,1180000000.0,1818000000.0,2593000000.0,3097000000.0,4008000000.0,5111000000.0,6182000000.0,8181000000.0,10101000000.0,11295000000.0,11921000000.0,14148000000.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Benin,BEN,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,3000000.0,3000000.0,1000000.0,1000000.0,0.0,0.0,0.0,0.0,5000000.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Burkina Faso,BFA,"Electricity production from renewable sources, excluding hydroelectric (kWh)",EG.ELC.RNWX.KH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
